#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
600	NM_001045727	GL172710	-	2052722	2072219	2053523	2054288	2	2052722,2071795,	2054506,2072219,	0	cdc42ep3	cmpl	cmpl	0,-1,
603	NM_001016885	GL172710	-	2408416	2436969	2410784	2414913	3	2408416,2412810,2436829,	2410988,2414926,2436969,	0	fbxo30	cmpl	cmpl	0,0,-1,
604	NM_001079069	GL172710	+	2535472	2563549	2536733	2563549	17	2535472,2536703,2541943,2543151,2544222,2545546,2547332,2548524,2549806,2550587,2551943,2552666,2553958,2556423,2559101,2562146,2563478,	2535490,2536840,2542079,2543201,2544271,2545647,2547465,2548580,2549867,2550640,2552009,2552741,2554081,2556610,2559245,2562245,2563549,	0	eif2ak2	cmpl	incmpl	-1,0,2,0,2,0,2,0,2,0,2,2,2,2,0,0,0,
605	NM_001016037	GL172710	-	2664446	2666456	2664550	2666434	2	2664446,2666306,	2664950,2666456,	0	gemin6	cmpl	cmpl	2,0,
605	NM_001017024	GL172710	-	2677891	2697309	2677958	2697305	7	2677891,2679432,2683662,2686965,2688331,2691997,2697115,	2678036,2679607,2683804,2687047,2688538,2692152,2697309,	0	galm	cmpl	cmpl	0,2,1,0,0,1,0,
605	NM_001170505	GL172710	+	2631498	2654382	2632866	2654382	22	2631498,2632860,2633008,2633908,2634708,2635413,2638451,2639483,2640364,2641691,2642253,2643759,2644688,2645443,2645509,2647282,2649594,2650621,2651943,2652792,2653383,2654364,	2631534,2632996,2633093,2634061,2634924,2636240,2638666,2639605,2640560,2641816,2642387,2643811,2644909,2645459,2645547,2647379,2649768,2650822,2652220,2652888,2653467,2654382,	0	dhx57	cmpl	incmpl	-1,0,1,2,2,2,1,0,2,0,2,1,2,1,2,1,2,2,2,0,0,0,
605	NM_001007486	GL172710	+	2668674	2675460	2668715	2674942	8	2668674,2669725,2671111,2672878,2673046,2673240,2674008,2674887,	2668743,2669906,2671288,2672953,2673148,2673294,2674041,2675460,	0	srsf7	cmpl	cmpl	0,1,2,2,2,2,2,2,
606	NM_001142086	GL172710	+	2805914	2820941	2812073	2820386	12	2805914,2812073,2813575,2815667,2816450,2818080,2818227,2819245,2819946,2820236,2820494,2820872,	2805984,2812112,2813664,2815878,2816570,2818137,2818254,2819334,2820112,2820481,2820862,2820941,	0	lgals8	cmpl	cmpl	-1,0,0,2,0,0,0,0,2,0,-1,-1,
606	NM_001142121	GL172710	+	2778376	2788361	2778545	2787483	7	2778376,2782082,2783556,2784781,2785973,2786815,2787933,	2778729,2782242,2783747,2784878,2786110,2787879,2788361,	0	LOC100216148	cmpl	cmpl	0,1,2,1,2,1,-1,
606	NM_001005053	GL172710	-	2829931	2864538	2830154	2864450	21	2829931,2832054,2833367,2834030,2835057,2837214,2839199,2840225,2841331,2842658,2844778,2845677,2846025,2846577,2848328,2850199,2851700,2852770,2853876,2854874,2864324,	2830313,2832213,2833433,2834177,2835237,2837349,2839382,2840366,2841440,2842809,2844926,2845908,2846118,2846663,2848410,2850278,2851788,2852857,2853996,2854989,2864538,	0	actn2	cmpl	cmpl	0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,1,1,1,0,0,
9	NM_001114241	GL172711	+	2012204	2396927	2012615	2396461	9	2012204,2153331,2280750,2320848,2381445,2382680,2383341,2387055,2395950,	2013321,2153461,2280824,2320875,2381548,2382807,2383469,2387226,2396927,	0	nrg3	cmpl	cmpl	0,1,2,1,1,2,0,2,2,
587	NM_001128040	GL172711	+	302034	332396	302048	332396	25	302034,305579,306807,308786,309698,310988,312924,313131,313746,314859,316035,316876,320701,321810,323905,324179,324815,325372,327359,327535,328604,328805,330470,331137,332252,	302328,305671,306998,308859,309854,311058,313031,313261,313802,314986,316173,316997,320859,321986,324016,324305,324927,325572,327456,327717,328719,329002,330613,331249,332396,	0	atp13a1	cmpl	incmpl	0,1,0,2,0,0,1,0,1,0,1,1,2,1,0,0,0,1,0,1,0,1,0,2,0,
588	NM_001011402	GL172711	-	401223	414621	402102	403899	2	401223,414560,	404213,414621,	0	znf518b	cmpl	cmpl	0,-1,
588	NM_001006780	GL172711	+	449123	474167	449247	474077	15	449123,450087,454542,455366,458285,463827,464444,464708,466162,467665,468401,469397,472111,472863,473967,	449263,450209,454633,455516,458358,463905,464525,464942,466250,467822,468489,469508,472285,473008,474167,	0	wdr1	cmpl	cmpl	0,1,0,1,2,0,0,0,0,1,2,0,0,0,1,
590	NM_001045710	GL172711	-	743889	776238	745208	762853	13	743889,747155,747859,748397,749349,750261,752835,753162,753608,756386,759691,762679,776135,	745233,747228,747983,748589,749429,750364,752928,753237,753830,756524,759820,762859,776238,	0	rasgef1a	cmpl	cmpl	2,1,0,0,1,0,0,0,0,0,0,0,-1,
590	NM_001102722	GL172711	+	715607	727678	715907	720736	7	715607,718719,720308,720569,722778,723805,725026,	716559,718936,720410,720748,722873,723887,727678,	0	csgalnact2	cmpl	cmpl	0,1,2,2,-1,-1,-1,
592	NM_001114038	GL172711	+	920869	925163	921141	925003	5	920869,921133,921827,922882,924626,	920933,921322,921944,922966,925163,	0	LOC100135366	cmpl	cmpl	-1,0,1,1,1,
593	NM_001113154	GL172711	-	1120147	1138452	1120387	1138442	9	1120147,1121206,1122674,1123217,1125176,1125406,1128459,1129321,1138348,	1120490,1121340,1122857,1123436,1125320,1125519,1128582,1129399,1138452,	0	mat1a	cmpl	cmpl	2,0,0,0,0,1,1,1,0,
593	NM_001097222	GL172711	+	1163558	1178061	1172224	1176921	6	1163558,1172222,1173563,1174887,1175137,1176810,	1163714,1172399,1173655,1175028,1175302,1178061,	0	c10orf58	cmpl	cmpl	-1,0,1,0,0,0,
594	NM_001007870	GL172711	-	1224623	1249420	1227005	1235144	10	1224623,1226888,1227917,1228588,1229121,1229937,1231291,1231853,1235063,1249278,	1226871,1227077,1228037,1228633,1229247,1230108,1231438,1231904,1235165,1249420,	0	tspan14	cmpl	cmpl	-1,0,0,0,0,0,0,0,0,-1,
606	NM_001017195	GL172711	+	2800574	2809687	2800597	2809003	7	2800574,2801790,2803181,2804542,2805450,2807816,2808918,	2800729,2801893,2803293,2804684,2805560,2807990,2809687,	0	ghitm	cmpl	cmpl	0,0,1,2,0,2,2,
607	NM_001079391	GL172711	+	2995400	2997353	2995451	2997026	1	2995400,	2997353,	0	slc18a3	cmpl	cmpl	0,
607	NM_001016013	GL172711	+	2933689	2943247	2933692	2943247	6	2933689,2935316,2938129,2938928,2941565,2943133,	2933771,2935473,2938251,2939082,2941683,2943247,	0	rgr	cmpl	incmpl	0,1,2,1,2,0,
609	NM_001127042	GL172711	-	3159232	3175102	3159414	3175102	7	3159232,3160152,3163903,3167644,3168391,3172623,3175024,	3159527,3160281,3164009,3167753,3168470,3172771,3175102,	0	parg	cmpl	incmpl	1,1,0,2,1,0,0,
9	NM_001011040	GL172712	+	1041820	1053542	1045047	1052905	8	1041820,1043503,1044982,1045258,1046953,1048930,1050909,1052771,	1041872,1043681,1045140,1045411,1047020,1049107,1051044,1053542,	0	slc35a1	cmpl	cmpl	-1,-1,0,0,0,1,1,1,
73	NM_001016756	GL172712	+	106282	179111	112844	178856	16	106282,112817,136227,140048,145155,148145,153871,154879,159803,160755,163035,167879,170895,176604,177718,178801,	106427,112971,136328,140133,145197,148200,153929,154973,159836,160878,163176,168032,171046,176691,177883,179111,	0	cyb5r4	cmpl	cmpl	-1,0,1,0,1,1,2,0,1,1,1,1,1,2,2,2,
74	NM_001100213	GL172712	-	1487953	1762971	1488623	1762685	11	1487953,1498705,1544403,1554841,1556530,1593889,1616054,1641656,1668024,1685132,1762615,	1488773,1498861,1544588,1554986,1556686,1594071,1616168,1641785,1668057,1685261,1762971,	0	edil3	cmpl	cmpl	0,0,1,0,0,1,1,1,1,1,0,
75	NM_001112916	GL172712	-	2670252	2841566	2671122	2748012	11	2670252,2676247,2680072,2681705,2693334,2694053,2702465,2728436,2747958,2815837,2841452,	2671348,2676380,2680202,2681878,2693382,2694240,2702609,2728640,2748146,2815921,2841566,	0	mef2c	cmpl	cmpl	2,1,0,1,1,0,0,0,0,-1,-1,
75	NM_001113831	GL172712	+	2215151	2259554	2215210	2258895	24	2215151,2225151,2225828,2226072,2226683,2227176,2229264,2230985,2231714,2231883,2233647,2234486,2236002,2236589,2240106,2240430,2242300,2243972,2245378,2245906,2246929,2256088,2257362,2258811,	2215446,2225304,2225964,2226143,2226801,2227208,2229317,2231136,2231793,2232004,2233804,2234574,2236080,2236747,2240283,2240590,2242443,2244088,2245465,2245974,2247019,2256166,2257497,2259554,	0	LOC100135092	cmpl	cmpl	0,2,2,0,2,0,2,1,2,0,1,2,0,0,0,0,1,0,2,2,1,0,0,0,
585	NM_001015786	GL172712	+	65862	87944	65897	87842	13	65862,68233,70211,72407,73506,74529,75243,79147,79929,83927,85294,86411,87752,	65968,68327,70264,72507,73620,74618,75392,79275,80005,84088,85521,86574,87944,	0	cyp3a4	cmpl	cmpl	0,2,0,2,0,0,2,1,0,1,0,2,0,
590	NM_001079333	GL172712	-	661496	710715	661661	710683	28	661496,661925,663061,666270,667365,669015,670002,670214,671146,671505,672339,672950,674251,683448,683750,685070,685799,686932,695864,696601,699005,700468,703281,704585,706970,707139,708619,710546,	661700,661982,663153,666366,667530,669139,670122,670255,671258,671606,672423,673158,674384,683507,683875,685226,685914,687013,695909,696677,699165,700479,703371,704629,707049,707216,708740,710715,	0	snx14	cmpl	cmpl	0,0,1,1,1,0,0,1,0,1,1,0,2,0,1,1,0,0,0,2,1,0,2,0,2,0,2,0,
592	NM_001016334	GL172712	+	1031503	1035471	1033621	1035076	3	1031503,1033587,1034917,	1031796,1033756,1035471,	0	c6orf162	cmpl	cmpl	-1,0,0,
593	NM_203583	GL172712	-	1128850	1138563	1129507	1138311	5	1128850,1130461,1131471,1132030,1138136,	1129518,1130533,1131615,1132174,1138563,	0	akirin2	cmpl	cmpl	1,1,1,1,0,
593	NM_001103067	GL172712	+	1084524	1125417	1084530	1125321	19	1084524,1087090,1088443,1091311,1092373,1094124,1094512,1096325,1097722,1099109,1101058,1109439,1111137,1112060,1120194,1122225,1122852,1124173,1125215,	1084554,1087145,1088541,1091456,1092478,1094279,1094643,1096485,1097836,1099243,1101122,1109556,1111217,1112194,1120277,1122369,1122963,1124247,1125417,	0	orc3	cmpl	cmpl	0,0,1,0,1,1,0,2,0,0,2,0,0,2,1,0,0,0,2,
601	NM_001171761	GL172712	+	2106642	2109249	2106647	2108062	3	2106642,2107945,2108990,	2106722,2108079,2109249,	0	cox7c	cmpl	cmpl	0,0,-1,
602	NM_001016256	GL172712	-	2260852	2267530	2261151	2267529	9	2260852,2262266,2263197,2264022,2264747,2265486,2266218,2266635,2267412,	2261190,2262327,2263309,2264093,2264911,2265697,2266292,2266758,2267530,	0	ccnh	cmpl	cmpl	0,2,1,2,0,2,0,0,0,
609	NM_001016387	GL172712	-	3165899	3173780	3166114	3173754	5	3165899,3168778,3171010,3172218,3173737,	3166158,3168970,3171125,3172354,3173780,	0	cetn3	cmpl	cmpl	1,1,0,2,0,
590	NM_001078887	GL172713	-	685086	694751	685768	692519	7	685086,686814,689230,690556,691088,692382,694719,	686127,686908,689361,690664,691141,692621,694751,	0	hnmt	cmpl	cmpl	1,0,1,1,2,0,-1,
593	NM_001097362	GL172713	+	1136248	1139940	1136314	1138882	2	1136248,1137814,	1136323,1139940,	0	cxcr4	cmpl	cmpl	0,0,
594	NM_001030497	GL172713	-	1283121	1301475	1284830	1293878	13	1283121,1286135,1286900,1289305,1289951,1290484,1292266,1292408,1292780,1293272,1293541,1293762,1301435,	1284977,1286189,1286917,1289393,1289989,1290524,1292317,1292462,1292845,1293364,1293744,1293919,1301475,	0	tmbim1	cmpl	cmpl	0,0,0,2,0,2,2,2,0,1,2,0,-1,
594	NM_203975	GL172713	+	1193139	1240359	1193209	1240032	18	1193139,1207455,1209135,1210316,1213010,1214748,1226284,1227606,1228939,1233934,1234590,1235992,1236607,1237571,1237803,1239032,1239519,1239940,	1193232,1207558,1209165,1210374,1213103,1214851,1226387,1227687,1228999,1234046,1234725,1236140,1236754,1237614,1237884,1239144,1239591,1240359,	0	dars	cmpl	cmpl	0,2,0,0,1,1,2,0,0,0,1,1,2,2,0,0,1,1,
594	NM_204062	GL172713	+	1249458	1257406	1249506	1257080	15	1249458,1251412,1251685,1252028,1252431,1252801,1253136,1253372,1253650,1254275,1254477,1255367,1255574,1256563,1256963,	1249616,1251559,1251796,1252278,1252597,1252947,1253287,1253514,1253792,1254383,1254633,1255496,1255736,1256697,1257406,	0	mcm6.2	cmpl	cmpl	0,2,2,2,0,1,0,1,2,0,0,0,0,0,0,
595	NM_001113019	GL172713	+	1335945	1353475	1335945	1351287	8	1335945,1338463,1342852,1343987,1345619,1348246,1349589,1351113,	1336062,1338576,1342911,1344080,1345783,1348333,1349705,1353475,	0	pnkd	incmpl	cmpl	1,1,0,2,2,1,1,0,
596	NM_001102897	GL172713	+	1460523	1471185	1463810	1471015	17	1460523,1463774,1464032,1464367,1464853,1465548,1465904,1466224,1467215,1467819,1468118,1468417,1468654,1469185,1469662,1469839,1470901,	1460604,1463885,1464107,1464564,1464965,1465647,1466058,1466325,1467353,1467978,1468298,1468563,1468799,1469374,1469731,1469971,1471185,	0	vil1	cmpl	cmpl	-1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,
596	NM_203693	GL172713	+	1493171	1500161	1493436	1499478	8	1493171,1494470,1497068,1497577,1498250,1498693,1498910,1499309,	1493460,1494650,1497184,1497687,1498360,1498792,1499002,1500161,	0	rqcd1	cmpl	cmpl	0,0,0,2,1,0,0,2,
597	NM_001172302	GL172713	+	1604740	1625203	1616733	1623091	10	1604740,1616649,1618516,1619582,1620123,1620788,1622231,1622464,1623041,1624606,	1604811,1616803,1618672,1619774,1620262,1620967,1622353,1622603,1623134,1625203,	0	grsf1	cmpl	cmpl	-1,0,1,1,1,2,1,0,1,-1,
597	NM_001016865	GL172713	+	1573882	1578811	1575110	1578489	8	1573882,1575056,1575810,1576119,1576411,1576952,1577426,1578236,	1573961,1575430,1575950,1576314,1576475,1577122,1577544,1578811,	0	bcs1l	cmpl	cmpl	-1,0,2,1,1,2,1,2,
598	NM_001078790	GL172713	+	1811153	1815087	1811523	1813848	2	1811153,1813808,	1812353,1815087,	0	cdk5r2	cmpl	cmpl	0,2,
599	NM_001123490	GL172713	-	1913073	1937456	1913768	1935723	31	1913073,1915082,1915717,1916784,1917915,1918210,1918426,1919053,1920776,1921234,1921801,1922262,1923273,1924753,1925217,1926536,1926958,1928116,1929254,1929873,1930562,1930869,1932122,1932572,1932918,1933392,1933669,1934281,1934865,1935604,1937390,	1913895,1915217,1916016,1916999,1917987,1918336,1918543,1919197,1920926,1921426,1921912,1922329,1923450,1924882,1925443,1926665,1927124,1928269,1929479,1930119,1930700,1931220,1932323,1932838,1933141,1933523,1933869,1934448,1934968,1935799,1937456,	0	ccdc108	cmpl	cmpl	2,2,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,1,0,1,2,0,2,0,-1,
601	NM_203604	GL172713	-	2154948	2161424	2155124	2161303	8	2154948,2157007,2157513,2158153,2158635,2158858,2159837,2161204,	2155784,2157125,2157575,2158282,2158756,2158940,2159940,2161424,	0	cnppd1	cmpl	cmpl	0,2,0,0,2,1,0,0,
601	NM_001127953	GL172713	-	2187630	2204840	2194064	2204653	10	2187630,2193208,2195533,2196260,2196482,2196697,2197669,2199851,2201799,2204432,	2188492,2194567,2195669,2196355,2196614,2196782,2197814,2199882,2201906,2204840,	0	fam134a	cmpl	cmpl	-1,1,0,1,1,0,2,1,2,0,
601	NM_001079175	GL172713	-	2163355	2181600	2165917	2179310	20	2163355,2168682,2169592,2170133,2170670,2171053,2172096,2172392,2172603,2172961,2173122,2174323,2174551,2175233,2175453,2175740,2176360,2176752,2178791,2181173,	2166074,2168751,2169687,2170246,2170845,2171158,2172154,2172478,2172667,2173038,2173248,2174389,2174661,2175355,2175646,2175833,2176544,2176890,2179332,2181600,	0	abcb6	cmpl	cmpl	2,2,0,1,0,0,2,0,2,0,0,0,1,2,1,1,0,0,0,-1,
601	NM_001078938	GL172713	-	2099631	2113728	2100691	2113426	13	2099631,2102416,2102704,2102994,2104200,2104491,2105112,2105870,2106008,2106172,2108178,2109881,2113393,	2100714,2102510,2102851,2103032,2104366,2104618,2105167,2105916,2106067,2106254,2108285,2109930,2113728,	0	prkag3	cmpl	cmpl	1,0,0,1,0,2,1,0,1,0,1,0,0,
604	NM_203798	GL172713	+	2587930	2591221	2587974	2591120	4	2587930,2589551,2589885,2590139,	2587977,2589774,2590034,2591221,	0	tuba1a	cmpl	cmpl	0,0,1,0,
604	NM_001044482	GL172713	+	2511438	2545249	2518365	2544968	16	2511438,2513238,2518364,2519167,2520565,2521770,2522736,2523254,2534486,2538633,2540877,2541484,2542129,2542466,2544396,2544898,	2511560,2513412,2518450,2519370,2520696,2521843,2522790,2523326,2534607,2538738,2541026,2541590,2542262,2542566,2544463,2545249,	0	racgap1.2	cmpl	cmpl	-1,-1,0,1,0,2,0,0,0,1,2,1,2,0,1,2,
604	NM_001078740	GL172713	-	2547062	2554850	2547340	2553529	13	2547062,2548202,2548455,2548794,2548928,2549114,2550941,2551627,2551995,2552851,2553154,2553489,2554784,	2547441,2548371,2548548,2548841,2549026,2549246,2551072,2551687,2552188,2552955,2553252,2553542,2554850,	0	gmppa	cmpl	cmpl	1,0,0,1,2,2,0,0,2,0,1,0,-1,
605	NM_203803	GL172713	-	2734597	2743842	2736113	2743792	9	2734597,2737446,2737550,2737968,2738341,2738590,2738882,2739085,2743250,	2736157,2737460,2737594,2738189,2738467,2738752,2738978,2739146,2743842,	0	des.1	cmpl	cmpl	1,1,2,0,0,0,0,2,0,
606	NM_001127959	GL172713	+	2776726	2810404	2776856	2810008	23	2776726,2786221,2787462,2787708,2787896,2788971,2790085,2790955,2791219,2792417,2793121,2793988,2801675,2804528,2804933,2805457,2805808,2806340,2807040,2808346,2809391,2809575,2809936,	2776938,2786272,2787576,2787814,2788143,2789293,2790274,2790990,2791557,2792504,2793201,2794053,2801889,2804727,2805081,2805531,2805886,2806460,2807207,2808400,2809456,2809649,2810404,	0	ptprn	cmpl	cmpl	0,1,1,1,2,0,1,1,0,2,2,1,0,2,0,1,0,0,0,2,2,1,0,
606	NM_001016026	GL172713	+	2761712	2773874	2761724	2773761	14	2761712,2762689,2763024,2763239,2763601,2763835,2764436,2765271,2768498,2769535,2769796,2770548,2771160,2773710,	2761806,2762778,2763138,2763365,2763726,2763932,2764544,2765349,2768582,2769696,2769836,2770650,2771328,2773874,	0	dnpep	cmpl	cmpl	0,1,0,0,0,2,0,0,0,0,2,0,0,0,
606	NM_001004792	GL172713	-	2858151	2865426	2858579	2864263	8	2858151,2859394,2859604,2859961,2861377,2862806,2864177,2865354,	2858718,2859516,2859700,2860082,2861511,2863026,2864287,2865426,	0	stk16	cmpl	cmpl	2,0,0,2,0,2,0,-1,
606	NM_001016694	GL172713	+	2845993	2856063	2846170	2855839	4	2845993,2853942,2854315,2854864,	2846173,2854165,2854464,2856063,	0	tuba4b	cmpl	cmpl	0,0,1,0,
606	NM_001015737	GL172713	-	2813122	2824857	2814149	2819133	11	2813122,2814903,2816045,2816218,2816406,2817946,2818155,2819023,2822218,2824699,2824844,	2814160,2815122,2816116,2816318,2816502,2818063,2818206,2819133,2822398,2824715,2824857,	0	dnajb2	cmpl	incmpl	1,1,2,1,1,1,1,2,-1,-1,-1,
606	NM_001011038	GL172713	+	2868411	2881638	2868570	2880275	16	2868411,2870359,2872202,2873699,2874535,2874725,2875434,2875723,2876749,2876947,2877427,2877582,2877742,2879035,2879255,2880092,	2868621,2870529,2872353,2873760,2874630,2874906,2875493,2875845,2876790,2877066,2877502,2877672,2877856,2879167,2879477,2881638,	0	glb1	cmpl	cmpl	0,0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,
607	NM_001007508	GL172713	+	2968224	2972197	2969571	2971152	2	2968224,2969570,	2968282,2972197,	0	MGC79670	cmpl	cmpl	-1,0,
73	NM_001097251	GL172714	-	783888	806950	786028	806883	16	783888,788077,789891,791289,791487,792062,792218,793652,794744,795693,796284,796503,797695,800345,801641,806687,	786117,788198,790030,791405,791598,792136,792332,793799,794807,795805,796422,796643,797894,800447,802861,806950,	0	LOC100036702	cmpl	cmpl	1,0,2,0,0,1,1,1,1,0,0,1,0,0,1,0,
74	NM_001030327	GL172714	-	1277953	1362760	1280394	1330937	7	1277953,1286660,1301217,1310783,1325929,1330865,1362611,	1280725,1286886,1301371,1310887,1326170,1330956,1362760,	0	elavl2	cmpl	cmpl	2,1,0,1,0,0,-1,
75	NM_001102894	GL172714	-	2743793	2757697	2745674	2755642	10	2743793,2746382,2746879,2748022,2751931,2752798,2753463,2754321,2755537,2757643,	2745888,2746510,2747013,2748152,2752064,2753076,2753664,2754381,2755724,2757697,	0	fktn	cmpl	cmpl	2,0,1,0,2,0,0,0,0,-1,
590	NM_001016616	GL172714	+	718516	776449	739563	775112	5	718516,739449,757002,757138,775082,	718535,739981,757033,757205,776449,	0	mob3b	cmpl	cmpl	-1,0,1,2,0,
590	NM_001016262	GL172714	+	655432	702763	690109	701372	7	655432,690091,693261,696226,696468,699893,701185,	655621,690187,693326,696345,696704,700006,702763,	0	c9orf72	cmpl	cmpl	-1,0,0,1,0,0,2,
591	NM_001016062	GL172714	-	858988	897373	859448	896298	20	858988,860962,862780,863759,865071,866481,867543,870894,874649,875564,876922,877281,891149,891764,892152,893263,895202,895490,896175,897347,	859564,861023,862906,863923,865198,866579,867597,870974,874690,875708,876985,877420,891211,891824,892213,893362,895251,895629,896310,897373,	0	ift74	cmpl	cmpl	1,0,0,1,0,1,1,2,0,0,0,2,0,0,2,2,1,0,0,-1,
591	NM_001122803	GL172714	+	897466	916885	897833	916750	14	897466,901933,902928,904296,904599,906833,907388,908998,909883,910666,910996,912061,913691,916184,	898000,902127,903029,904417,904767,906969,907558,909156,910100,910729,911068,912163,913856,916885,	0	plaa	cmpl	cmpl	0,2,1,0,1,1,2,1,0,1,1,1,1,1,
598	NM_001078979	GL172714	-	1754054	1761100	1754272	1761028	2	1754054,1760514,	1755105,1761100,	0	dmrta1	cmpl	cmpl	1,0,
599	NM_001011495	GL172714	-	1911908	1924154	1912240	1924141	8	1911908,1913708,1915428,1916926,1919302,1920715,1922004,1924117,	1912279,1913831,1915668,1917029,1919470,1920774,1922091,1924154,	0	mtap	cmpl	cmpl	0,0,0,2,2,0,0,0,
599	NM_001006919	GL172714	+	1894936	1900810	1895076	1899830	2	1894936,1899578,	1895202,1900810,	0	cdkn2b	cmpl	cmpl	0,0,
602	NM_001017280	GL172714	+	2300143	2309534	2303911	2308870	4	2300143,2303887,2304884,2308694,	2300601,2304794,2305049,2309534,	0	klf4	cmpl	cmpl	-1,0,1,1,
603	NM_001030407	GL172714	-	2392084	2411594	2392698	2411321	10	2392084,2392923,2393663,2394360,2396574,2399174,2401271,2402360,2403601,2411255,	2392812,2393106,2393791,2394496,2396702,2399230,2401549,2402440,2403683,2411594,	0	rad23b	cmpl	cmpl	0,0,1,0,1,2,0,1,0,0,
605	NM_001016127	GL172714	-	2704594	2719172	2706042	2719150	6	2704594,2709735,2710608,2711505,2713889,2719041,	2706240,2709853,2710696,2711690,2714046,2719172,	0	tmem38b	cmpl	cmpl	0,2,1,2,1,0,
608	NM_001005718	GL172714	-	3064118	3094286	3064281	3094164	6	3064118,3083836,3084983,3088016,3089649,3094077,	3064358,3083923,3085133,3088175,3089857,3094286,	0	nipsnap3a	cmpl	cmpl	1,1,1,1,0,0,
74	NM_001127988	GL172715	+	1640370	1744604	1640665	1742150	17	1640370,1646155,1655800,1659601,1662207,1662851,1663576,1670677,1672153,1674543,1683401,1684017,1688560,1690746,1693939,1697166,1742111,	1640811,1646227,1655872,1659683,1662315,1662920,1663657,1670738,1672249,1674613,1683480,1684113,1688611,1690839,1694110,1697247,1744604,	0	antxr2	cmpl	cmpl	0,2,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0,
75	NM_001126960	GL172715	-	2604932	2659367	2607777	2658964	7	2604932,2614490,2615392,2620969,2633042,2658690,2659246,	2607910,2614595,2615515,2621157,2633278,2658968,2659367,	0	b4galt1.1	cmpl	cmpl	2,2,2,0,1,0,-1,
75	NM_001114044	GL172715	+	2876481	2899004	2876552	2898756	11	2876481,2879895,2880063,2881441,2887431,2888006,2889702,2890412,2893791,2898293,2898645,	2876567,2879991,2880195,2881543,2887454,2888128,2889915,2890511,2893953,2898384,2899004,	0	fsd1	cmpl	cmpl	0,0,0,0,0,2,1,1,1,2,0,
587	NM_001002903	GL172715	-	267815	273516	267815	273516	5	267815,269298,270113,271287,273438,	268047,270109,270129,271561,273516,	0	fut10	cmpl	cmpl	1,0,1,0,0,
590	NM_001079236	GL172715	+	699705	737051	699882	736011	9	699705,716366,718657,721885,727861,729964,730995,734728,735918,	700063,716526,718811,721963,727997,730163,731135,734949,737051,	0	sh2d4a	cmpl	cmpl	0,1,2,0,0,1,2,1,0,
592	NM_001123421	GL172715	-	993822	1008116	994031	1007987	9	993822,996688,998521,999813,1000699,1001681,1002203,1006527,1007808,	994175,996860,998584,999962,1000826,1001786,1002318,1006613,1008116,	0	fnta	cmpl	cmpl	0,2,2,0,2,2,1,2,0,
596	NM_001045686	GL172715	-	1565716	1570582	1566341	1569013	4	1565716,1567852,1568785,1570326,	1567648,1568087,1569016,1570582,	0	prdm8	cmpl	cmpl	1,0,0,-1,
600	NM_001016135	GL172715	+	2050861	2067076	2053577	2060153	8	2050861,2053553,2055096,2055579,2058254,2058728,2060010,2066040,	2050928,2053762,2055259,2055735,2058452,2058819,2060159,2067076,	0	paqr3	cmpl	cmpl	-1,0,2,0,0,0,1,-1,
602	NM_001016904	GL172715	+	2231329	2253201	2233635	2252717	11	2231329,2233355,2237933,2239109,2240065,2240417,2243621,2244761,2246583,2250650,2252552,	2231418,2233924,2238074,2239195,2240162,2240537,2243822,2245353,2246769,2250735,2253201,	0	slc20a2	cmpl	cmpl	-1,0,1,1,0,1,1,1,2,2,0,
603	NM_001122807	GL172715	-	2363106	2405902	2363719	2405863	7	2363106,2366045,2367466,2372193,2372928,2374679,2405847,	2363981,2366328,2367641,2372295,2373068,2374847,2405902,	0	kcmf1	cmpl	cmpl	2,1,0,0,1,1,0,
603	NM_001130214	GL172715	+	2411335	2461240	2415837	2461169	34	2411335,2414219,2415791,2416604,2417541,2420358,2421890,2422443,2423275,2425041,2426058,2427916,2429924,2432573,2432946,2437109,2438186,2438778,2438944,2440899,2442272,2444692,2445673,2446525,2448318,2448949,2449482,2450142,2450525,2452878,2453512,2454564,2460627,2461083,	2411677,2414384,2415909,2416686,2417622,2420444,2421990,2422534,2423399,2425132,2426277,2428087,2430024,2432682,2433051,2437227,2438260,2438857,2439024,2441037,2442358,2444835,2445797,2446623,2448520,2449011,2449545,2450203,2450639,2452990,2453640,2454719,2460706,2461240,	0	ikbkap	cmpl	cmpl	-1,-1,0,0,1,1,0,1,2,0,1,1,1,0,1,2,0,2,0,2,2,1,0,1,0,1,0,0,1,1,2,1,0,1,
603	NM_001011012	GL172715	+	2480626	2489784	2483976	2489502	9	2480626,2483940,2484579,2485037,2485503,2486678,2487362,2488015,2489277,	2480718,2484108,2484760,2485142,2485731,2486793,2487478,2488116,2489784,	0	dnaja1	cmpl	cmpl	-1,0,0,1,1,1,2,1,0,
